Voltage (V),Current(A) 
-0.999255,-4.170131E-9
-0.949280,-3.923379E-9
-0.898890,-3.684294E-9
-0.848500,-3.472394E-9
-0.798110,-3.038138E-9
-0.748135,-2.974707E-9
-0.698569,-2.668680E-9
-0.648186,-2.396163E-9
-0.598073,-2.123620E-9
-0.547683,-1.717246E-9
-0.498123,-1.187495E-9
-0.448010,-1.013235E-9
-0.396374,-4.967276E-10
-0.346953,-3.022533E-10
-0.297532,-5.480390E-11
-0.246729,2.880420E-10
-0.196890,5.667553E-10
-0.146915,8.036638E-10
-0.097633,1.077502E-9
-0.047796,1.261455E-9
0.002178,1.575707E-9
0.052151,1.397329E-9
0.101987,1.630769E-9
0.151404,1.926870E-9
0.201379,2.204908E-9
0.251493,2.493403E-9
0.301463,2.823658E-9
0.352405,3.170659E-9
0.402102,3.362973E-9
0.452213,4.442997E-9
0.502186,2.635524E-9
0.552298,3.781047E-9
0.601302,3.972664E-9
0.650860,3.994264E-9
0.700978,4.177561E-9
0.750668,4.162191E-9
0.799949,4.204695E-9
0.850060,4.230476E-9
0.900033,4.291097E-9
0.949997,4.415779E-9
1.000118,4.432545E-9
1.050229,4.436029E-9
1.099915,4.538413E-9
1.149495,4.473700E-9
1.199041,4.483411E-9
1.249707,4.519644E-9
1.298849,4.454843E-9
1.348809,4.440167E-9
1.399072,4.408855E-9
1.448062,4.479883E-9
1.497758,4.701460E-9
1.547746,5.057565E-9
1.597719,5.561345E-9
1.648107,6.317362E-9
1.697372,7.604259E-9
1.747638,6.942314E-9
1.798009,1.026804E-8
1.847843,1.536444E-8
1.897419,2.361538E-8
1.947373,3.727316E-8
1.997623,6.019823E-8
2.047754,1.001165E-7
2.099783,1.686259E-7
2.149084,3.095294E-7
2.199334,5.746473E-7
2.250000,1.093390E-6
2.299834,2.204604E-6
2.349946,4.620666E-6
2.399342,9.589089E-6
2.449730,1.885302E-5
2.500118,3.352615E-5
2.549814,5.405331E-5
2.599509,7.972360E-5
2.649508,0.000110
2.699481,0.000143
2.749731,0.000179
2.799815,0.000217
2.849815,0.000256
2.899622,0.000296
2.949762,0.000337
2.999596,0.000379
3.049708,0.000422
3.099651,0.000465
3.149377,0.000508
3.199489,0.000552
3.249600,0.000596
3.299680,0.000641
3.349375,0.000686
3.399520,0.000731
3.449321,0.000776
3.499570,0.000822
3.549716,0.000868
3.599377,0.000913
3.649524,0.000959
3.699461,0.001006
3.749609,0.001052
3.799757,0.001099
3.848686,0.001145
3.899213,0.001192
3.949639,0.001238
3.999059,0.001285
4.049685,0.001332
4.099420,0.001379
4.148937,0.001426
4.199463,0.001473
4.249713,0.001520
4.299686,0.001567
4.348870,0.001614
4.399674,0.001662
4.449786,0.001709
4.499022,0.001757
4.549273,0.001804
4.599428,0.001852
4.648848,0.001899
4.699651,0.001947
4.749532,0.001995
4.798767,0.002042
4.849709,0.002090
4.899682,0.002138
4.949607,0.002186
4.999075,0.002234
