Voltage (V),Current(A) 
-0.998009,-2.983072E-9
-0.947758,-3.062534E-9
-0.897653,-3.129481E-9
-0.847531,-3.128753E-9
-0.798249,-3.127359E-9
-0.748412,-3.058352E-9
-0.698576,-3.093204E-9
-0.648463,-3.035350E-9
-0.598350,-3.120388E-9
-0.548236,-3.138512E-9
-0.497985,-3.027682E-9
-0.448148,-3.144785E-9
-0.398174,-3.118994E-9
-0.347925,-3.131572E-9
-0.298227,-3.212429E-9
-0.248249,-3.297437E-9
-0.197999,-3.315592E-9
-0.148161,-3.450786E-9
-0.097634,-3.434787E-9
-0.048489,-3.498916E-9
0.001625,-3.634143E-9
0.050490,-3.997266E-9
0.100740,-2.780233E-9
0.150713,-3.744240E-9
0.200965,-4.018216E-9
0.250798,-4.391790E-9
0.300220,-4.228027E-9
0.350748,-4.046795E-9
0.400440,-4.175011E-9
0.451106,-3.998660E-9
0.500530,-4.554942E-9
0.551052,-4.129006E-9
0.601169,-4.853975E-9
0.650998,-4.004236E-9
0.701110,-3.950564E-9
0.750529,-3.910135E-9
0.800779,-3.840432E-9
0.850614,-3.855069E-9
0.901141,-3.778395E-9
0.950698,-3.770030E-9
1.000949,-3.679415E-9
1.051347,-3.643901E-9
1.101874,-3.535859E-9
1.151848,-3.483581E-9
1.201948,-3.436845E-9
1.251783,-3.352503E-9
1.301895,-3.284890E-9
1.351729,-3.208912E-9
1.402131,-3.097417E-9
1.451122,-2.969828E-9
1.501787,-2.848543E-9
1.552022,-2.755809E-9
1.602010,-2.593426E-9
1.651983,-2.528601E-9
1.701541,-2.380828E-9
1.751930,-1.525559E-9
1.801349,-1.326903E-9
1.852153,2.998847E-10
1.896727,3.724607E-9
1.951822,8.124835E-9
2.003733,3.083796E-8
2.052322,5.560637E-8
2.099368,1.049693E-7
2.149755,2.058743E-7
2.201390,3.970535E-7
2.253045,7.011056E-7
2.291528,2.171097E-6
2.349808,2.499523E-6
2.399619,4.866613E-6
2.449868,9.510247E-6
2.499727,1.809482E-5
2.550254,3.180090E-5
2.599812,5.164181E-5
2.649733,7.677454E-5
2.699342,0.000111
2.749592,0.000140
2.799842,0.000176
2.849815,0.000213
2.899373,0.000253
2.949623,0.000293
2.999735,0.000334
3.049570,0.000376
3.098435,0.000420
3.149377,0.000462
3.199489,0.000505
3.249739,0.000549
3.299818,0.000594
3.349547,0.000638
3.399348,0.000683
3.449631,0.000728
3.499604,0.000774
3.549578,0.000819
3.599412,0.000865
3.649385,0.000911
3.699322,0.000957
3.749470,0.001003
3.799544,0.001049
3.849555,0.001096
3.898836,0.001143
3.949639,0.001189
3.999474,0.001236
4.049309,0.001283
4.099380,0.001330
4.149491,0.001379
4.199463,0.001424
4.249021,0.001471
4.299686,0.001518
4.349424,0.001566
4.398982,0.001613
4.449509,0.001661
4.499759,0.001708
4.548901,0.001756
4.599750,0.001803
4.649817,0.001851
4.699097,0.001899
4.749624,0.001946
4.799459,0.001994
4.849523,0.002042
4.898851,0.002090
4.949655,0.002138
4.999815,0.002186
