Voltage (V),Current(A) 
-0.997456,-2.667277E-8
-0.947896,-2.702621E-8
-0.897229,-2.620290E-8
-0.847393,-2.661560E-8
-0.797287,-2.632237E-8
-0.747443,-2.623497E-8
-0.697884,-2.608369E-8
-0.647632,-2.594497E-8
-0.597242,-2.586410E-8
-0.546996,-2.575490E-8
-0.497016,-2.559222E-8
-0.447045,-2.547117E-8
-0.397758,-2.525899E-8
-0.347230,-2.512863E-8
-0.297535,-2.500409E-8
-0.247421,-2.484863E-8
-0.197582,-2.472360E-8
-0.147471,-2.457326E-8
-0.097633,-2.446636E-8
-0.047796,-2.431997E-8
0.002594,-2.420006E-8
0.052290,-2.436946E-8
0.101848,-2.420145E-8
0.151821,-2.417148E-8
0.201794,-2.397140E-8
0.251354,-2.363492E-8
0.301602,-2.369743E-8
0.351713,-2.352803E-8
0.401409,-2.339070E-8
0.451383,-2.323315E-8
0.501499,-2.292873E-8
0.551606,-2.271100E-8
0.601723,-2.261083E-8
0.651275,-2.241333E-8
0.702231,-2.220114E-8
0.752059,-2.217303E-8
0.802025,-2.177894E-8
0.852413,-2.154680E-8
0.903088,-2.119775E-8
0.952083,-2.075835E-8
1.002471,-1.950701E-8
1.052167,-1.669411E-8
1.101587,-1.589171E-8
1.147822,4.953048E-9
1.198764,5.171032E-8
1.249556,1.765655E-7
1.299264,5.264642E-7
1.349791,1.417389E-6
1.400028,3.655121E-6
1.449447,8.803638E-6
1.499558,1.961070E-5
1.549822,3.817804E-5
1.599795,6.456856E-5
1.649891,9.706362E-5
1.699742,0.000134
1.749715,0.000174
1.799965,0.000216
1.849799,0.000260
1.900206,0.000304
1.949746,0.000349
1.999719,0.000395
2.049830,0.000442
2.099803,0.000489
2.149638,0.000536
2.199590,0.000584
2.249723,0.000632
2.299834,0.000680
2.349808,0.000728
2.399504,0.000776
2.449453,0.000824
2.499588,0.000873
2.549700,0.000922
2.599509,0.000971
2.649179,0.001019
2.699619,0.001069
2.749592,0.001118
2.799704,0.001167
2.849123,0.001216
2.899483,0.001265
2.949485,0.001314
2.998904,0.001364
3.049708,0.001413
3.099789,0.001463
3.149100,0.001512
3.199627,0.001561
3.249739,0.001611
3.299882,0.001661
3.348993,0.001710
3.399658,0.001760
3.449631,0.001810
3.499017,0.001859
3.549820,0.001909
3.599516,0.001958
3.648970,0.002008
3.699461,0.002058
3.749747,0.002108
3.799305,0.002158
3.849416,0.002207
3.899528,0.002257
3.948909,0.002307
3.999612,0.002357
4.049724,0.002407
4.099380,0.002457
4.148937,0.002507
4.199504,0.002557
4.249616,0.002607
4.299355,0.002657
4.349243,0.002706
4.399535,0.002756
4.448912,0.002807
4.499715,0.002856
4.549228,0.002906
4.598829,0.002956
4.649539,0.003007
4.699605,0.003056
4.749624,0.003107
4.799044,0.003157
4.849523,0.003207
4.899357,0.003257
4.948963,0.003307
4.999718,0.003357
