Voltage (V),Current(A) 
-0.999947,6.162273E-10
-0.949973,5.590906E-10
-0.900275,4.594496E-10
-0.850715,2.664388E-10
-0.800594,4.346570E-11
-0.750904,-1.126583E-10
-0.701068,-5.817666E-10
-0.651093,-1.349208E-9
-0.601534,-1.067604E-9
-0.551836,-1.335267E-9
-0.501722,-1.612690E-9
-0.452024,-2.281152E-9
-0.402188,-2.985163E-9
-0.352906,-3.344139E-9
-0.303346,-3.830673E-9
-0.252956,-4.844867E-9
-0.202704,-4.874839E-9
-0.152730,-5.239392E-9
-0.101924,-5.540513E-9
-0.052780,-5.869517E-9
-0.001836,-6.279377E-9
0.047860,-6.099540E-9
0.097695,-6.606986E-9
0.147253,-7.013360E-9
0.197504,-7.369620E-9
0.247058,-7.464969E-9
0.296757,-7.659517E-9
0.348394,-7.849885E-9
0.398502,-7.965518E-9
0.449168,-8.079135E-9
0.498731,-7.713961E-9
0.549391,-7.881176E-9
0.599647,-7.950260E-9
0.649614,-7.696460E-9
0.699587,-7.410673E-9
0.750529,-9.273165E-9
0.801056,-7.422523E-9
0.851168,-7.092823E-9
0.901141,-6.657869E-9
0.951391,-6.547040E-9
1.001650,-6.042442E-9
1.051465,-5.598313E-9
1.101981,-5.711874E-9
1.151975,-4.495650E-9
1.201948,-3.655716E-9
1.252752,-2.313215E-9
1.302310,-1.440251E-10
1.352988,6.980077E-9
1.401966,2.852822E-8
1.450831,9.131546E-8
1.499572,3.346152E-7
1.549945,1.284648E-6
1.599795,4.964661E-6
1.649891,1.613655E-5
1.699880,3.775625E-5
1.749715,6.806998E-5
1.799393,0.000104
1.849938,0.000143
1.900049,0.000184
1.949765,0.000227
1.999699,0.000271
2.049830,0.000315
2.099942,0.000360
2.149617,0.000406
2.199728,0.000452
2.249861,0.000499
2.299973,0.000545
2.349785,0.000592
2.399504,0.000639
2.449591,0.000687
2.499564,0.000735
2.549700,0.000782
2.599673,0.000830
2.649369,0.000878
2.699316,0.000926
2.749592,0.000974
2.799677,0.001022
2.849815,0.001071
2.898930,0.001119
2.949762,0.001168
2.999567,0.001216
3.049263,0.001265
3.099820,0.001314
3.149516,0.001362
3.198904,0.001411
3.249739,0.001460
3.299850,0.001509
3.349653,0.001558
3.398828,0.001607
3.449459,0.001656
3.499709,0.001705
3.549162,0.001754
3.599551,0.001803
3.649662,0.001852
3.699046,0.001901
3.749711,0.001950
3.799720,0.002000
3.849001,0.002049
3.899666,0.002098
3.949501,0.002147
3.999751,0.002197
4.049170,0.002246
4.099380,0.002295
4.149531,0.002345
4.198633,0.002394
4.249575,0.002443
4.299728,0.002493
4.348690,0.002542
4.399813,0.002592
4.449604,0.002641
4.499161,0.002691
4.549455,0.002740
4.599383,0.002790
4.649678,0.002839
4.699097,0.002889
4.749532,0.002938
4.799644,0.002988
4.848878,0.003038
4.899544,0.003087
4.949655,0.003137
4.999165,0.003187
